,miRNA,ceRNA,species,database,type,miRNA_log2FC,ceRNA_log2FC,inference
682758,hsa-miR-1278,CEBPB,Homo sapiens,RNAInter,miRNA-mRNA,2.011778441,-7.399230999,strict
805405,hsa-miR-1306-3p,CEACAM6,Homo sapiens,miRWalk,miRNA-mRNA,-2.209798107,2.820942211,strict
806911,hsa-miR-1306-3p,NEBL,Homo sapiens,miRWalk,miRNA-mRNA,-2.209798107,2.529631532,strict
807351,hsa-miR-1306-3p,PPARGC1A,Homo sapiens,miRWalk,miRNA-mRNA,-2.209798107,3.927338971,strict
812245,hsa-miR-1307-3p,ADAM32,Homo sapiens,miRWalk,miRNA-mRNA,-2.093601818,3.126004106,strict
812485,hsa-miR-1307-3p,ARHGAP8,Homo sapiens,miRWalk,miRNA-mRNA,-2.093601818,5.218090539,strict
813724,hsa-miR-1307-3p,ELANE,Homo sapiens,miRWalk,miRNA-mRNA,-2.093601818,2.029131023,strict
814355,hsa-miR-1307-3p,HBG1,Homo sapiens,miRWalk,miRNA-mRNA,-2.093601818,3.800572047,strict
814356,hsa-miR-1307-3p,HBG2,Homo sapiens,miRWalk,miRNA-mRNA,-2.093601818,3.742033754,strict
815397,hsa-miR-1307-3p,NEBL,Homo sapiens,miRWalk,miRNA-mRNA,-2.093601818,2.529631532,strict
816022,hsa-miR-1307-3p,PPARGC1A,Homo sapiens,miRWalk,miRNA-mRNA,-2.093601818,3.927338971,strict
838497,hsa-miR-132-5p,HBG1,Homo sapiens,miRWalk,miRNA-mRNA,-2.121374699,3.800572047,strict
1379571,hsa-miR-203a-3p,CEBPB,Homo sapiens,RNAInter,miRNA-mRNA,3.280088558,-7.399230999,strict
1662344,hsa-miR-27a-5p,ADAM32,Homo sapiens,miRWalk,miRNA-mRNA,-2.081772186,3.126004106,strict
1662523,hsa-miR-27a-5p,ARHGAP8,Homo sapiens,miRWalk,miRNA-mRNA,-2.081772186,5.218090539,strict
1664498,hsa-miR-27a-5p,MPO,Homo sapiens,miRWalk,miRNA-mRNA,-2.081772186,2.216336987,strict
1665339,hsa-miR-27a-5p,RNASE3,Homo sapiens,miRWalk,miRNA-mRNA,-2.081772186,2.428954534,strict
1665416,hsa-miR-27a-5p,RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.081772186,2.265764748,strict
1666023,hsa-miR-27a-5p,TLCD4-RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.081772186,3.067442485,strict
1775644,hsa-miR-3064-5p,ARHGAP8,Homo sapiens,miRWalk,miRNA-mRNA,-2.123514599,5.218090539,strict
1776195,hsa-miR-3064-5p,CEACAM6,Homo sapiens,miRWalk,miRNA-mRNA,-2.123514599,2.820942211,strict
1778174,hsa-miR-3064-5p,MIR29B2CHG,Homo sapiens,ENCORI,miRNA-lncRNA,-2.123514599,27.79823168,strict
1778937,hsa-miR-3064-5p,PPARGC1A,Homo sapiens,miRWalk,miRNA-mRNA,-2.123514599,3.927338971,strict
1779384,hsa-miR-3064-5p,RPS3A,Homo sapiens,miRWalk,miRNA-mRNA,-2.123514599,2.249824162,strict
1780517,hsa-miR-3064-5p,UTS2,Homo sapiens,miRWalk,miRNA-mRNA,-2.123514599,2.148164339,strict
1809661,hsa-miR-30b-5p,GFPT2,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA,2.105375221,-2.539826219,strict
2652646,hsa-miR-3690,ISY1-RAB43,Homo sapiens,miRWalk,miRNA-mRNA,2.132122994,-25.351312,strict
2652810,hsa-miR-3690,LINC00174,Homo sapiens,ENCORI,miRNA-lncRNA,2.132122994,-6.929792229,strict
2667980,hsa-miR-370-3p,DEFA4,Homo sapiens,miRWalk,miRNA-mRNA,-2.608407396,3.220305415,strict
2668978,hsa-miR-370-3p,INHBA,Homo sapiens,miRWalk,miRNA-mRNA,-2.608407396,2.210477781,strict
2670117,hsa-miR-370-3p,PCLAF,Homo sapiens,miRWalk,miRNA-mRNA,-2.608407396,2.103726435,strict
2670332,hsa-miR-370-3p,PPARGC1A,Homo sapiens,RNAInter,miRNA-mRNA,-2.608407396,3.927338971,strict
2670737,hsa-miR-370-3p,RPL9,Homo sapiens,miRWalk,miRNA-mRNA,-2.608407396,2.342160185,strict
2671889,hsa-miR-370-3p,UTS2,Homo sapiens,miRWalk,miRNA-mRNA,-2.608407396,2.148164339,strict
2672111,hsa-miR-370-3p,ZNF205,Homo sapiens,miRWalk,miRNA-mRNA,-2.608407396,2.536311472,strict
2709896,hsa-miR-374a-5p,CEBPB,Homo sapiens,miRDB_6.0;RNAInter;miRTarBase_9.0,miRNA-mRNA,2.561616981,-7.399230999,strict
2791956,hsa-miR-382-5p,AZU1,Homo sapiens,miRWalk,miRNA-mRNA,-2.458567193,2.169847809,strict
2793207,hsa-miR-382-5p,HMMR,Homo sapiens,RNAInter,miRNA-mRNA,-2.458567193,2.435641514,strict
2795525,hsa-miR-382-5p,THUMPD3-AS1,Homo sapiens,ENCORI,miRNA-lncRNA,-2.458567193,24.00021616,strict
3168952,hsa-miR-432-5p,ARHGAP8,Homo sapiens,miRWalk,miRNA-mRNA,-2.19659001,5.218090539,strict
3170305,hsa-miR-432-5p,HMMR,Homo sapiens,miRWalk,miRNA-mRNA,-2.19659001,2.435641514,strict
3171486,hsa-miR-432-5p,PPARGC1A,Homo sapiens,RNAInter,miRNA-mRNA,-2.19659001,3.927338971,strict
3171828,hsa-miR-432-5p,RPL17-C18orf32,Homo sapiens,miRWalk,miRNA-mRNA,-2.19659001,8.577903928,strict
3171866,hsa-miR-432-5p,RWDD3,Homo sapiens,RNAInter,miRNA-mRNA,-2.19659001,2.265764748,strict
3172412,hsa-miR-432-5p,TIGD1,Homo sapiens,miRWalk,miRNA-mRNA,-2.19659001,2.72874629,strict
3527077,hsa-miR-4508,ADAM32,Homo sapiens,miRWalk,miRNA-mRNA,-2.387458352,3.126004106,strict
3528314,hsa-miR-4508,DEFA4,Homo sapiens,miRWalk,miRNA-mRNA,-2.387458352,3.220305415,strict
3529202,hsa-miR-4508,HBG2,Homo sapiens,miRWalk,miRNA-mRNA,-2.387458352,3.742033754,strict
3530231,hsa-miR-4508,NEBL,Homo sapiens,miRWalk,miRNA-mRNA,-2.387458352,2.529631532,strict
3530667,hsa-miR-4508,PFDN4,Homo sapiens,miRWalk,miRNA-mRNA,-2.387458352,2.22269515,strict
3530863,hsa-miR-4508,PPARGC1A,Homo sapiens,miRWalk,miRNA-mRNA,-2.387458352,3.927338971,strict
3531412,hsa-miR-4508,RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.387458352,2.265764748,strict
3853227,hsa-miR-4669,CEACAM6,Homo sapiens,miRWalk,miRNA-mRNA,-2.021023809,2.820942211,strict
3854198,hsa-miR-4669,HMMR,Homo sapiens,miRWalk,miRNA-mRNA,-2.021023809,2.435641514,strict
3854902,hsa-miR-4669,NEBL,Homo sapiens,miRWalk,miRNA-mRNA,-2.021023809,2.529631532,strict
3855191,hsa-miR-4669,PCLAF,Homo sapiens,miRWalk,miRNA-mRNA,-2.021023809,2.103726435,strict
3855362,hsa-miR-4669,PPARGC1A,Homo sapiens,miRWalk,miRNA-mRNA,-2.021023809,3.927338971,strict
3855705,hsa-miR-4669,RPL9,Homo sapiens,miRWalk,miRNA-mRNA,-2.021023809,2.342160185,strict
3856325,hsa-miR-4669,TIGD1,Homo sapiens,miRWalk,miRNA-mRNA,-2.021023809,2.72874629,strict
3856339,hsa-miR-4669,TLCD4-RWDD3,Homo sapiens,miRWalk,miRNA-mRNA,-2.021023809,3.067442485,strict
3856790,hsa-miR-4669,ZNF205,Homo sapiens,miRWalk,miRNA-mRNA,-2.021023809,2.536311472,strict
